,rank,name,year,Douban_rating,country,genres,budget,revenue,keywords,MLens_rating
157,158,Black Swan,2010,8.5,US,Drama/Thriller/Horror,13000000,327803731,dancing/competition/sex/dancer/obsession/paranoia/insanity/ballet/new york city/heartbreak/mental illness/madness/psychological horror/swan lake/ballerina,4.469993781094527
158,159,Django Unchained,2012,8.7,US,Drama/Western,100000000,425368238,bounty hunter/hero/plantation/society/friendship/friends/revenge/rivalry/rescue/shootout/racism/danger/dentist/django/aftercreditsstinger/odd couple/black slave/deadly/19th century,4.469993781094527
159,160,"Three Billboards Outside Ebbing, Missouri",2017,8.7,GB,Crime/Drama,15000000,158526998,suicide/rape/small town/missouri/alcoholism/murder/dark comedy/cancer/teenage girl/arson/police corruption/racism/anger/billboard/guilty conscience/molotov cocktail/police violence/pool hall,4.469993781094527
160,161,Wild Tales,2014,8.8,AR,Drama/Thriller/Comedy,0,27007072,revenge/wedding party/road rage,4.469993781094527
161,162,Dallas Buyers Club,2013,8.8,US,Drama/History,5000000,55198285,aids/rodeo/texas/biography/dallas texas/based on a true story/hiv/drugs/lgbt/treatment/1980s/trans woman,4.469993781094527
162,163,Nezha Conquers the Dragon King,1979,9.0,CN,Animation/Fantasy,0,0,,4.469993781094527
163,164,In the Mood for Love,2000,8.6,CN,Drama/Romance,0,12854953,adultery/lovesickness/martial arts/newspaper/husband wife relationship/married couple/shanghai/deceived husband/forbidden love/singapore/marriage crisis/secret love/neighbor/author/hong kong/extramarital affair/1960s,4.469993781094527
164,165,I Am Sam,2001,8.9,US,Drama,22000000,92542418,foster parents/pro bono/new baby/social services/learning/coffee shop manager/pizza hut/children's book/locked door/mentally handicapped man/child custody/woman director,4.469993781094527
165,166,Your Name.,2016,8.4,JP,Romance/Animation/Drama,0,357986087,japan/time travel/supernatural/afterlife/romance/school/body-swap/star crossed lovers/anime,4.469993781094527
166,167,Rain Man,1988,8.7,US,Drama,25000000,412800000,individual/loss of loved one/mentally disabled/autism/yuppie/car dealer/egocentrism/road trip/blackjack/cincinnati/travel/convertible/las vegas/psychiatrist/road movie/duringcreditsstinger/asperger's syndrome/savant,4.469993781094527
167,168,Hotel Rwanda,2004,8.9,CA,Drama/History/War,17500000,38000000,rwanda/refugee/refugee camp/militia/rwandan genocide/murder/slaughter/dead body/atrocity/african/cruelty/violence/united nations/death,4.469993781094527
168,169,Inside Out,2015,8.7,US,Drama/Comedy/Animation/Family,175000000,857611174,dream/cartoon/imaginary friend/elementary school/family/kids/unicorn/duringcreditsstinger/3d/emotions,4.469993781094527
169,170,Secrets of the Heavenly Book,19832019,9.2,CN,Animation,0,0,,4.469993781094527
170,171,Ready Player One,2018,8.7,IN,Adventure/Science Fiction,175000000,582890172,video game/based on novel or book/future/virtual reality/dystopia/nostalgia/love/evil corporation/quest/1980s/life/2040s/based on young adult novel/columbus ohio,4.469993781094527
171,172,You are Umasou,2010,8.8,JP,Adventure/Animation/Family,0,0,coming of age/dinosaur/based on children's book/anime,4.469993781094527
172,173,Manchester by the Sea,2016,8.6,US,Drama,9000000,75026965,boat/sadness/boston/massachusetts/funeral/brother/loss/grief/dysfunctional family/hospital/house fire/death/nephew/ex-wife/nonlinear timeline/mental health/ex-husband ex-wife relationship/legal guardian/dysfunctional life,4.469993781094527
173,174,Wreck-It Ralph,2012,8.7,US,Family/Animation/Comedy/Adventure,165000000,471222889,support group/product placement/bullying/racing/arcade/medal/self esteem/curiosity/precocious child/aftercreditsstinger/duringcreditsstinger/first person shooter/glitch/carefree/video gamer/q*bert/interrupted wedding/social reject/purpose of life,4.469993781094527
174,175,The Notebook,2004,8.5,US,Romance/Drama,29000000,115603229,poem/river/sadness/fight/love of one's life/dementia/class/secret love/tears/candle/mailbox,4.469993781094527
175,176,Ice Age,2002,8.5,US,Animation/Comedy/Family/Adventure,59000000,383257136,human evolution/loss of loved one/parent child relationship/squirrel/ice/mammoth/sloth/dying and death/stone age/prehistoric/saber-toothed tiger/cavemen/prehistoric creature/prehistoric adventure/prehistoric times/prehistoric man,4.469993781094527
176,177,Perfect Blue,1997,8.9,JP,Animation/Thriller,0,112536,japan/career/stalker/singer/female protagonist/split personality/j-pop/anime,4.469993781094527
177,178,The Imitation Game,2014,8.6,US,History/Drama/Thriller/War,14000000,233555708,gay/england/world war ii/mathematician/biography/lgbt/logician/cryptography,4.469993781094527
178,179,A Man Called Ove,2015,8.8,NO,Comedy/Drama,0,3371692,black humor/dark comedy/suicidal/pregnant woman/bitterness/saab/volvo,4.469993781094527
179,180,Hachi-ko,1987,9.1,JP,,0,0,based on a true story/dog/wakayama japan/doc actor/1920s/shibuya,4.469993781094527
180,181,Twenty Two,2015,8.7,CN,History/Documentary,0,0,,4.469993781094527
181,182,Kung Fu Hustle,2004,8.5,CN,Action/Comedy/Crime/Fantasy,20000000,101434304,martial arts/kung fu/magic/gangster/mafia/defense/policeman/1940s/anarchic comedy/canton,4.469993781094527
182,183,Don't Look Now: We're Being Shot At,1966,8.9,FR,Comedy/War,0,0,"paris, france/world war ii/british/paratroops/french resistance/farce/cult film/nazi occupation/1940s",4.469993781094527
183,184,Singin' in the Rain,1952,9.0,US,Comedy/Music/Romance,2540800,7200000,fan/morning/musical/talkie/partner/film in film/hollywood/broadway/audience/chorus girl/diction coach/pearl necklace/flapper/1920s,4.469993781094527
184,185,The Matrix Revolutions,2003,8.7,US,Adventure/Action/Thriller/Science Fiction,150000000,424988211,saving the world/artificial intelligence/man vs machine/flying/philosophy/fortune teller/martial arts/kung fu/underground world/killer robot/temple/subway/dream/sun/hero/fight/sunlight/computer virus/key/future/precognition/super computer/machine town/ying yang/dying and death/virtual reality/dystopia/computer/faith/truth/rescue/mission/cyberpunk/woman director/yin yang/gnosticism/trans director,4.469993781094527
185,186,Oceans,2009,9.1,FR,Documentary/Family,0,19406406,ocean/sea/fish/whale/duringcreditsstinger/nature & science,4.469993781094527
186,187,A.I. Artificial Intelligence,2001,8.6,US,Drama/Science Fiction/Adventure,100000000,235926552,artificial intelligence/prophecy/prostitute/loss of loved one/android/extraterrestrial technology/ice age/adoption/fairy tale/prosecution/gigolo/hologram/dystopia/alien/robot/destiny/capture/doppelgänger/robot boy,4.469993781094527
187,188,Rooms with Mao's Images,2015,8.8,CN,Documentary,0,0,,4.469993781094527
188,189,Our Little Sister,2015,8.7,JP,Drama/Comedy,0,346485,funeral/family/step sister/step siblings,4.469993781094527
189,190,Kiki's Delivery Service,1989,8.6,JP,Animation/Adventure/Drama/Fantasy/Family,6900000,18172849,clock tower/witch/cat/bicycle accident/broom/female friendship/bakery/coming of age/dog/baking/seaside town/talking cat/courier service/delivery service/anime,4.469993781094527
190,191,Legends of the Fall,1994,8.8,US,Adventure/Drama/Romance/War,30000000,160638883,sibling relationship/montana/based on novel or book/world war i/journey round the world/early 1900s,4.469993781094527
191,192,Triangle,2009,8.4,AU,Horror,12000000,1594955,ocean/florida/autism/key/yacht/ax/ship/ghost ship/murder/time loop/masked killer/blood/storm/single mother/heavy rain/ax murder/caribbean,4.469993781094527
192,193,Psycho,1960,8.9,US,Horror/Drama/Thriller,806948,32000000,hotel/clerk/arizona/shower/rain/motel/taxidermy/money/secretary/corpse/murderer/theft/private detective/proto-slasher,4.469993781094527
193,194,The Girl Who Leapt Through Time,2006,8.6,JP,Fantasy/Animation/Drama/Science Fiction,0,3800000,time travel/love/surrealism/slice of life/teenage girl/school/student/schoolgirl/teenage romance/pudding/anime,4.469993781094527
194,195,Rashomon,1950,8.8,JP,Crime/Drama/Mystery,250000,96568,japan/rape/samurai/rain/woodcutter/medium/sunlight/court case/dying and death/court/truth/criminal/based on short story/multiple perspectives,4.469993781094527
195,196,Waterloo Bridge,1940,8.8,US,Drama/Romance,0,0,world war ii/world war i/bridge/flashback/based on play or musical/british soldier/air raid/1910s,4.469993781094527
196,197,Train to Busan,2016,8.4,KR,Action/Horror/Thriller,8820000,87547518,korea/zombie/train/survival horror/busan,4.469993781094527
197,198,Perfect Strangers,2016,8.5,IT,Comedy/Drama,0,0,italy/italian/love/love fiction/smartphone,4.469993781094527
198,199,Trainspotting,1996,8.5,GB,Drama/Crime,4000000,16491080,"london, england/scotland/based on novel or book/drug addiction/drug dealer/nightclub/junkie/heroin/cold turkey/edinburgh/modern society/hallucination/friendship/surrealism/dark comedy/stealing/drug rehabilitation/monologue/drug dealing/drugs/cult film/recovering drug addict/illegal drugs/drug culture/antihero",4.469993781094527
199,200,Wonder,2017,8.6,US,Drama/Family,20000000,0,exclusion/bullying/coney island/prejudice/school/middle school/based on children's book/family/physical disability/treacher collins syndrome,4.469993781094527
